======Круг: #1, Тип: DAILY======
Квест: сломать Хвоя | Уровень: EASY | Прогресс: 64
Квест: продать Редстоуновая пыль скупщику | Уровень: EASY | Прогресс: 128
Квест: сломать Листья цветущей азалии | Уровень: EASY | Прогресс: 32
Квест: зачаровать любой предмет на Неразрушимость III | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: убить Зомби | Уровень: EASY | Прогресс: 8
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в нижний мир | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100


======Круг: #9, Тип: DAILY======
Квест: скрафтить Железный топор | Уровень: EASY | Прогресс: 12
Квест: сломать Листва вишни | Уровень: EASY | Прогресс: 32
Квест: пробежать 300 блоков в нижний мир | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий при помощи Золотая лопата | Уровень: EASY | Прогресс: 4
Квест: убить Свинья | Уровень: EASY | Прогресс: 8
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000


======Круг: #10, Тип: DAILY======
Квест: сломать Песок | Уровень: EASY | Прогресс: 192
Квест: продать Зелье огнестойкости скупщику | Уровень: EASY | Прогресс: 4
Квест: зачаровать предмет Алмазные поножи на Защита III | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Золотая лопата | Уровень: EASY | Прогресс: 4
Квест: убить Слизень | Уровень: EASY | Прогресс: 8
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000


======Круг: #11, Тип: DAILY======
Квест: скрафтить Деревянный меч | Уровень: EASY | Прогресс: 16
Квест: сломать Песок | Уровень: EASY | Прогресс: 192
Квест: убить Скелет | Уровень: EASY | Прогресс: 8
Квест: добыть Кремень ломая Гравий при помощи Каменная лопата | Уровень: EASY | Прогресс: 4
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: зачаровать предмет Алмазная кираса на Взрывоустойчивость III | Уровень: EASY | Прогресс: 1
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пролететь 10000 блоков в мир Края | Уровень: EASY | Прогресс: 10000


======Круг: #12, Тип: DAILY======
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: скрафтить Деревянный меч | Уровень: EASY | Прогресс: 16
Квест: сломать Незерак | Уровень: EASY | Прогресс: 320
Квест: зачаровать любой предмет на 3 ур. | Уровень: EASY | Прогресс: 1
Квест: убить Овца | Уровень: EASY | Прогресс: 8
Квест: пролететь 10000 блоков в мир Края | Уровень: EASY | Прогресс: 10000
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300


======Круг: #13, Тип: DAILY======
Квест: съесть Тушеные грибы | Уровень: EASY | Прогресс: 12
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: сломать Угольная руда | Уровень: EASY | Прогресс: 64
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000
Квест: зачаровать предмет Алмазные поножи на Защита от снарядов III | Уровень: EASY | Прогресс: 1
Квест: убить Свинья | Уровень: EASY | Прогресс: 8
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в нижний мир | Уровень: EASY | Прогресс: 300
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #14, Тип: DAILY======
Квест: скрафтить Вишневый люк | Уровень: EASY | Прогресс: 3
Квест: убить Зомбированный пиглин | Уровень: EASY | Прогресс: 8
Квест: сломать Алмазная руда | Уровень: EASY | Прогресс: 8
Квест: зачаровать предмет Алмазный шлем на Защита от снарядов III | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в нижний мир | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #15, Тип: DAILY======
Квест: сломать Листва березы | Уровень: EASY | Прогресс: 64
Квест: продать Порох скупщику | Уровень: EASY | Прогресс: 32
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий | Уровень: EASY | Прогресс: 4
Квест: зачаровать предмет Алмазные поножи на Взрывоустойчивость III | Уровень: EASY | Прогресс: 1
Квест: убить Курица | Уровень: EASY | Прогресс: 8
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200


======Круг: #16, Тип: DAILY======
Квест: зачаровать предмет Алмазные ботинки на Защита III | Уровень: EASY | Прогресс: 1
Квест: скрафтить Дверь из дуба | Уровень: EASY | Прогресс: 3
Квест: поставить Саженец акации | Уровень: EASY | Прогресс: 18
Квест: убить Скелет | Уровень: EASY | Прогресс: 8
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий | Уровень: EASY | Прогресс: 4
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пролететь 10000 блоков в мир Края | Уровень: EASY | Прогресс: 10000
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000


======Круг: #17, Тип: DAILY======
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: зачаровать предмет Алмазная кираса на Взрывоустойчивость III | Уровень: EASY | Прогресс: 1
Квест: скрафтить Каменный топор | Уровень: EASY | Прогресс: 16
Квест: поставить Саженец тропического дерева | Уровень: EASY | Прогресс: 18
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: убить Корова | Уровень: EASY | Прогресс: 8
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: добыть Кремень ломая Гравий | Уровень: EASY | Прогресс: 4


======Круг: #18, Тип: DAILY======
Квест: сломать Древние обломки | Уровень: EASY | Прогресс: 4
Квест: продать Плод коруса скупщику | Уровень: EASY | Прогресс: 32
Квест: убить Лавовый куб | Уровень: EASY | Прогресс: 8
Квест: добыть Кремень ломая Гравий при помощи Каменная лопата | Уровень: EASY | Прогресс: 4
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: зачаровать предмет Алмазная кираса на Защита III | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300


======Круг: #19, Тип: DAILY======
Квест: сломать Глубинный сланец | Уровень: EASY | Прогресс: 192
Квест: скрафтить Люк из березы | Уровень: EASY | Прогресс: 3
Квест: зачаровать любой предмет на Неразрушимость I | Уровень: EASY | Прогресс: 1
Квест: убить Паук | Уровень: EASY | Прогресс: 8
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: EASY | Прогресс: 4
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100


======Круг: #20, Тип: DAILY======
Квест: продать Уголь скупщику | Уровень: EASY | Прогресс: 128
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: зачаровать любой предмет на Неразрушимость I | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: поставить Саженец тропического дерева | Уровень: EASY | Прогресс: 18
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в нижний мир | Уровень: EASY | Прогресс: 300
Квест: убить Игрока | Уровень: EASY | Прогресс: 4
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500


======Круг: #21, Тип: DAILY======
Квест: скрафтить Медная дверь | Уровень: EASY | Прогресс: 3
Квест: сломать Гранит | Уровень: EASY | Прогресс: 192
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: зачаровать предмет Алмазные ботинки на Легкость III | Уровень: EASY | Прогресс: 1
Квест: убить Игрока | Уровень: EASY | Прогресс: 4
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #22, Тип: DAILY======
Квест: убить Эндермен | Уровень: EASY | Прогресс: 8
Квест: сломать Гравий | Уровень: EASY | Прогресс: 64
Квест: продать Сосновое бревно скупщику | Уровень: EASY | Прогресс: 64
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: зачаровать любой предмет | Уровень: EASY | Прогресс: 1
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4


======Круг: #23, Тип: DAILY======
Квест: зачаровать предмет Алмазный шлем на Огнеупорность III | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: скрафтить Дубовое бревно | Уровень: EASY | Прогресс: 64
Квест: убить Слизень | Уровень: EASY | Прогресс: 8
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: сломать Красный песок | Уровень: EASY | Прогресс: 192
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий при помощи Каменная лопата | Уровень: EASY | Прогресс: 4


======Круг: #24, Тип: DAILY======
Квест: сломать Незерак | Уровень: EASY | Прогресс: 320
Квест: продать Жареная баранина скупщику | Уровень: EASY | Прогресс: 32
Квест: убить Игрока | Уровень: EASY | Прогресс: 4
Квест: пролететь 35000 блоков | Уровень: EASY | Прогресс: 35000
Квест: добыть Кремень ломая Гравий при помощи Алмазная лопата | Уровень: EASY | Прогресс: 4
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: зачаровать предмет Алмазные ботинки на Огнеупорность III | Уровень: EASY | Прогресс: 1
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300


======Круг: #25, Тип: DAILY======
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: сломать Бревно бледного дуба | Уровень: EASY | Прогресс: 64
Квест: скрафтить Деревянная кирка | Уровень: EASY | Прогресс: 16
Квест: зачаровать предмет Алмазная кираса на Защита от снарядов III | Уровень: EASY | Прогресс: 1
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500
Квест: убить Корова | Уровень: EASY | Прогресс: 8
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий при помощи Деревянная лопата | Уровень: EASY | Прогресс: 4
Квест: отыграть на сервере 12 часов | Уровень: EASY | Прогресс: 43200
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #26, Тип: DAILY======
Квест: добыть Кремень ломая Гравий при помощи Золотая лопата | Уровень: EASY | Прогресс: 4
Квест: скрафтить Алмазный шлем | Уровень: EASY | Прогресс: 2
Квест: убить Эндермен | Уровень: EASY | Прогресс: 8
Квест: зачаровать любой предмет на Неразрушимость | Уровень: EASY | Прогресс: 1
Квест: сломать Бревно бледного дуба | Уровень: EASY | Прогресс: 64
Квест: пролететь 10000 блоков в мир Края | Уровень: EASY | Прогресс: 10000
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100


======Круг: #27, Тип: DAILY======
Квест: убить Зомби | Уровень: EASY | Прогресс: 8
Квест: скрафтить Люк из темного дуба | Уровень: EASY | Прогресс: 3
Квест: сломать Хвоя | Уровень: EASY | Прогресс: 64
Квест: пролететь 10000 блоков в мир Края | Уровень: EASY | Прогресс: 10000
Квест: зачаровать предмет Алмазные поножи на Огнеупорность III | Уровень: EASY | Прогресс: 1
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: EASY | Прогресс: 4
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #28, Тип: DAILY======
Квест: съесть Жареная курятина | Уровень: EASY | Прогресс: 12
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100
Квест: поставить Саженец сосны | Уровень: EASY | Прогресс: 18
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: EASY | Прогресс: 4
Квест: зачаровать предмет Алмазные ботинки на Защита от снарядов III | Уровень: EASY | Прогресс: 1
Квест: пролететь 7500 блоков в нижний мир | Уровень: EASY | Прогресс: 7500
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: убить Зомби | Уровень: EASY | Прогресс: 8


======Круг: #29, Тип: DAILY======
Квест: продать Незер-кварц скупщику | Уровень: EASY | Прогресс: 128
Квест: поставить Саженец тропического дерева | Уровень: EASY | Прогресс: 18
Квест: зачаровать любой предмет | Уровень: EASY | Прогресс: 1
Квест: проплыть 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300
Квест: добыть Кремень ломая Гравий при помощи Железная лопата | Уровень: EASY | Прогресс: 4
Квест: пробежать 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков | Уровень: EASY | Прогресс: 100
Квест: убить Овца | Уровень: EASY | Прогресс: 8
Квест: пробежать 300 блоков в мир Края | Уровень: EASY | Прогресс: 300
Квест: пробежать 300 блоков в верхний мир | Уровень: EASY | Прогресс: 300


======Круг: #30, Тип: DAILY======
Квест: скрафтить Алмазная мотыга | Уровень: EASY | Прогресс: 4
Квест: пролететь 10000 блоков в верхний мир | Уровень: EASY | Прогресс: 10000
Квест: зачаровать любой предмет на Неразрушимость | Уровень: EASY | Прогресс: 1
Квест: сломать Сосновое бревно | Уровень: EASY | Прогресс: 64
Квест: пройти 100 блоков в нижний мир | Уровень: EASY | Прогресс: 100
Квест: проплыть 300 блоков | Уровень: EASY | Прогресс: 300
Квест: пройти 100 блоков в мир Края | Уровень: EASY | Прогресс: 100
Квест: убить Скелет | Уровень: EASY | Прогресс: 8
Квест: пройти 100 блоков в верхний мир | Уровень: EASY | Прогресс: 100






======Круг: #1, Тип: SEASON======
Квест: зачаровать предмет Алмазные ботинки на Защита от снарядов III | Уровень: MIDDLE | Прогресс: 4
Квест: убить Курица | Уровень: HARD | Прогресс: 64
Квест: съесть Жареная курятина | Уровень: MIDDLE | Прогресс: 24
Квест: сломать Бревно бледного дуба | Уровень: HARD | Прогресс: 512
Квест: отыграть на сервере 1 день | Уровень: MIDDLE | Прогресс: 86400
Квест: пройти 500 блоков в мир Края | Уровень: HARD | Прогресс: 500
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: MIDDLE | Прогресс: 8
Квест: пролететь 125000 блоков в мир Края | Уровень: HARD | Прогресс: 125000
Квест: пройти 240 блоков в верхний мир | Уровень: MIDDLE | Прогресс: 240
Квест: пробежать 2400 блоков в мир Края | Уровень: HARD | Прогресс: 2400


======Круг: #2, Тип: SEASON======
Квест: скрафтить Ошкуренное бревно темного дуба | Уровень: MIDDLE | Прогресс: 192
Квест: зачаровать предмет Алмазные поножи на Огнеупорность III | Уровень: HARD | Прогресс: 10
Квест: пройти 240 блоков в верхний мир | Уровень: MIDDLE | Прогресс: 240
Квест: добыть Кремень ломая Гравий при помощи Железная лопата | Уровень: HARD | Прогресс: 16
Квест: сломать Лазуритовая руда | Уровень: MIDDLE | Прогресс: 192
Квест: проплыть 3800 блоков в верхний мир | Уровень: HARD | Прогресс: 3800
Квест: пробежать 600 блоков в мир Края | Уровень: MIDDLE | Прогресс: 600
Квест: пройти 500 блоков | Уровень: HARD | Прогресс: 500
Квест: убить Паук | Уровень: MIDDLE | Прогресс: 16
Квест: пройти 500 блоков в мир Края | Уровень: HARD | Прогресс: 500


======Круг: #3, Тип: SEASON======
Квест: скрафтить Багровый люк | Уровень: MIDDLE | Прогресс: 18
Квест: пройти 500 блоков в мир Края | Уровень: HARD | Прогресс: 500
Квест: убить Зомбированный пиглин | Уровень: MIDDLE | Прогресс: 16
Квест: сломать Андезит | Уровень: HARD | Прогресс: 640
Квест: зачаровать предмет Алмазный шлем на Взрывоустойчивость III | Уровень: MIDDLE | Прогресс: 4
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: HARD | Прогресс: 16
Квест: пройти 240 блоков | Уровень: MIDDLE | Прогресс: 240
Квест: пробежать 2400 блоков | Уровень: HARD | Прогресс: 2400
Квест: пройти 240 блоков в мир Края | Уровень: MIDDLE | Прогресс: 240
Квест: пролететь 75000 блоков в нижний мир | Уровень: HARD | Прогресс: 75000


======Круг: #4, Тип: SEASON======
Квест: продать Эндер-жемчуг скупщику | Уровень: MIDDLE | Прогресс: 64
Квест: зачаровать предмет Алмазные поножи на Защита от снарядов III | Уровень: HARD | Прогресс: 10
Квест: сломать Светящийся камень | Уровень: MIDDLE | Прогресс: 32
Квест: добыть Кремень ломая Гравий при помощи Незеритовая лопата | Уровень: HARD | Прогресс: 16
Квест: пролететь 75000 блоков в мир Края | Уровень: MIDDLE | Прогресс: 75000
Квест: пробежать 2400 блоков в нижний мир | Уровень: HARD | Прогресс: 2400
Квест: убить Овца | Уровень: MIDDLE | Прогресс: 24
Квест: пролететь 125000 блоков в мир Края | Уровень: HARD | Прогресс: 125000
Квест: пролететь 75000 блоков в верхний мир | Уровень: MIDDLE | Прогресс: 75000
Квест: пролететь 175000 блоков | Уровень: HARD | Прогресс: 175000


======Круг: #5, Тип: SEASON======
Квест: скрафтить Алмазная мотыга | Уровень: MIDDLE | Прогресс: 8
Квест: зачаровать любой предмет на Неразрушимость | Уровень: HARD | Прогресс: 10
Квест: сломать Листва вишни | Уровень: MIDDLE | Прогресс: 64
Квест: убить Корова | Уровень: HARD | Прогресс: 64
Квест: проплыть 600 блоков в верхний мир | Уровень: MIDDLE | Прогресс: 600
Квест: пробежать 2400 блоков в мир Края | Уровень: HARD | Прогресс: 2400
Квест: пролететь 75000 блоков | Уровень: MIDDLE | Прогресс: 75000
Квест: добыть Кремень ломая Гравий | Уровень: HARD | Прогресс: 16
Квест: пробежать 600 блоков | Уровень: MIDDLE | Прогресс: 600
Квест: проплыть 3800 блоков | Уровень: HARD | Прогресс: 3800


======Круг: #6, Тип: SEASON======
Квест: сломать Листва вишни | Уровень: MIDDLE | Прогресс: 64
Квест: зачаровать предмет Алмазные поножи на Взрывоустойчивость III | Уровень: HARD | Прогресс: 10
Квест: скрафтить Каменный меч | Уровень: MIDDLE | Прогресс: 32
Квест: пролететь 175000 блоков | Уровень: HARD | Прогресс: 175000
Квест: пробежать 600 блоков в мир Края | Уровень: MIDDLE | Прогресс: 600
Квест: добыть Кремень ломая Гравий при помощи Железная лопата | Уровень: HARD | Прогресс: 16
Квест: убить Крипер | Уровень: MIDDLE | Прогресс: 16
Квест: пройти 500 блоков в нижний мир | Уровень: HARD | Прогресс: 500
Квест: пройти 240 блоков в мир Края | Уровень: MIDDLE | Прогресс: 240
Квест: пролететь 125000 блоков в верхний мир | Уровень: HARD | Прогресс: 125000


======Круг: #7, Тип: SEASON======
Квест: пройти 240 блоков в нижний мир | Уровень: MIDDLE | Прогресс: 240
Квест: продать Искаженный стебель скупщику | Уровень: HARD | Прогресс: 1600
Квест: пролететь 75000 блоков в верхний мир | Уровень: MIDDLE | Прогресс: 75000
Квест: добыть Кремень ломая Гравий | Уровень: HARD | Прогресс: 16
Квест: отыграть на сервере 1 день | Уровень: MIDDLE | Прогресс: 86400
Квест: сломать Красный песок | Уровень: HARD | Прогресс: 640
Квест: зачаровать предмет Алмазная кираса на Защита от снарядов III | Уровень: MIDDLE | Прогресс: 4
Квест: убить Свинья | Уровень: HARD | Прогресс: 64
