==========Уровень квеста: Легкий==========
[1.0] сломать Древесина акации | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 0
[1.24] сломать Медная руда | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 70
[1.25] сломать Железная руда | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 75
[1.26] сломать Лазуритовая руда | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 76
[1.27] сломать Редстоуновая руда | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 77
[1.28] сломать Древние обломки | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 84
[1.29] сломать Золотая руда | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 87
[1.30] сломать Изумрудная руда | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 90
[1.31] сломать Алмазная руда | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 93
[1.32] сломать Листва березы | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 96
[1.33] сломать Листва темного дуба | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 97
[1.34] сломать Листва тропического дерева | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 98
[1.35] сломать Листва мангровых зарослей | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 99
[1.36] сломать Листва дуба | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 100
[1.37] сломать Листва бледного дуба | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 101
[1.38] сломать Хвоя | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 102
[1.39] сломать Листва азалии | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 117
[1.40] сломать Листва вишни | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 118
[1.41] сломать Листья цветущей азалии | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 119
[1.42] сломать Эндерняк | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 126
[1.43] поставить Саженец сосны | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 129
[1.44] поставить Саженец темного дуба | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 130
[1.45] поставить Саженец акации | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 131
[1.46] поставить Саженец березы | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 132
[1.47] поставить Саженец дуба | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 133
[1.48] поставить Саженец тропического дерева | Необходимый прогресс: 18 | Награда: 150 XP | Weight: 0 | ID: 134
[1.49] сломать Гравий | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 147
[1.50] сломать Светящийся камень | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 150
[1.51] убить Игрока | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 153
[1.52] убить Свинья | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 156
[1.53] убить Овца | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 157
[1.54] убить Курица | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 158
[1.55] убить Корова | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 159
[1.56] убить Зомби | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 168
[1.57] убить Зомбированный пиглин | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 169
[1.58] убить Паук | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 170
[1.59] убить Слизень | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 171
[1.60] убить Скелет | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 172
[1.61] убить Крипер | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 173
[1.62] убить Эндермен | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 174
[1.63] убить Лавовый куб | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 175
[1.64] скрафтить Деревянная кирка | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 192
[1.65] скрафтить Деревянный топор | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 193
[1.66] скрафтить Деревянная мотыга | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 194
[1.67] скрафтить Деревянная лопата | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 195
[1.68] скрафтить Деревянный меч | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 196
[1.69] скрафтить Каменная кирка | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 207
[1.70] скрафтить Каменный топор | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 208
[1.71] скрафтить Каменная мотыга | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 209
[1.72] скрафтить Каменная лопата | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 210
[1.73] скрафтить Каменный меч | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 211
[1.74] скрафтить Железная кирка | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 222
[1.75] скрафтить Железный топор | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 223
[1.76] скрафтить Железная мотыга | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 224
[1.77] скрафтить Железная лопата | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 225
[1.78] скрафтить Железный меч | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 226
[1.79] скрафтить Алмазная кирка | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 237
[1.80] скрафтить Алмазный топор | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 238
[1.81] скрафтить Алмазная мотыга | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 239
[1.82] скрафтить Алмазная лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 240
[1.83] скрафтить Алмазный меч | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 241
[1.84] скрафтить Алмазный шлем | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 252
[1.85] скрафтить Алмазная кираса | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 253
[1.86] скрафтить Алмазные поножи | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 254
[1.87] скрафтить Алмазные ботинки | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 255
[1.88] скрафтить Алмазный блок | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 264
[1.89] скрафтить Золотой блок | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 265
[1.90] скрафтить Железный блок | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 266
[1.91] скрафтить Угольный блок | Необходимый прогресс: 2 | Награда: 150 XP | Weight: 0 | ID: 267
[1.92] скрафтить Дверь из темного дуба | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 276
[1.93] скрафтить Дверь из акации | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 277
[1.94] скрафтить Дверь из березы | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 278
[1.95] скрафтить Вишневая дверь | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 279
[1.96] скрафтить Медная дверь | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 280
[1.97] скрафтить Багровая дверь | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 281
[1.98] скрафтить Железная дверь | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 282
[1.99] скрафтить Дверь из тропического дерева | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 283
[1.100] скрафтить Дверь из дуба | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 284
[1.101] скрафтить Люк из темного дуба | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 285
[1.102] скрафтить Люк из акации | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 286
[1.103] скрафтить Люк из березы | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 287
[1.104] скрафтить Вишневый люк | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 288
[1.105] скрафтить Медный люк | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 289
[1.106] скрафтить Багровый люк | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 290
[1.107] скрафтить Железный люк | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 291
[1.108] скрафтить Люк из тропического дерева | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 292
[1.109] скрафтить Люк из дуба | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 293
[1.110] скрафтить Верстак | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 330
[1.111] скрафтить Печка | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 331
[1.112] скрафтить Плавильная печь | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 332
[1.113] скрафтить Костер | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 333
[1.114] скрафтить Стол зачарований | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 342
[1.115] скрафтить Эндер-сундук | Необходимый прогресс: 3 | Награда: 150 XP | Weight: 0 | ID: 343
[1.116] скрафтить Палка | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 348
[1.117] скрафтить Сосновое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 351
[1.118] скрафтить Дубовое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 352
[1.119] скрафтить Бревно темного дуба | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 353
[1.120] скрафтить Березовое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 354
[1.121] скрафтить Акациевое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 355
[1.122] скрафтить Сосновое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 356
[1.123] скрафтить Ошкуренное дубовое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 357
[1.124] скрафтить Ошкуренное бревно темного дуба | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 358
[1.125] скрафтить Ошкуренное березовое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 359
[1.126] скрафтить Ошкуренное акациевое бревно | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 360
[1.127] добыть Кремень ломая Гравий | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 381
[1.128] добыть Кремень ломая Гравий при помощи Деревянная лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 384
[1.129] добыть Кремень ломая Гравий при помощи Алмазная лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 385
[1.130] добыть Кремень ломая Гравий при помощи Незеритовая лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 386
[1.131] добыть Кремень ломая Гравий при помощи Золотая лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 387
[1.132] добыть Кремень ломая Гравий при помощи Железная лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 388
[1.133] добыть Кремень ломая Гравий при помощи Каменная лопата | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 389
[1.134] отыграть на сервере 6 часов | Необходимый прогресс: 21600 | Награда: 150 XP | Weight: 0 | ID: 402
[1.135] пробежать 5000 блоков | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 405
[1.136] пробежать 5000 блоков в верхний мир | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 406
[1.137] пробежать 5000 блоков в нижний мир | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 407
[1.138] пробежать 5000 блоков в мир Края | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 408
[1.139] пройти 5000 блоков | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 417
[1.140] пройти 5000 блоков в верхний мир | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 418
[1.141] пройти 5000 блоков в нижний мир | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 419
[1.142] пройти 5000 блоков в мир Края | Необходимый прогресс: 5000 | Награда: 150 XP | Weight: 0 | ID: 420
[1.143] проплыть 1000 блоков | Необходимый прогресс: 1000 | Награда: 150 XP | Weight: 0 | ID: 429
[1.144] проплыть 1000 блоков в верхний мир | Необходимый прогресс: 1000 | Награда: 150 XP | Weight: 0 | ID: 430
[1.145] пролететь 35000 блоков в верхний мир | Необходимый прогресс: 35000 | Награда: 150 XP | Weight: 0 | ID: 435
[1.146] пролететь 35000 блоков в мир Края | Необходимый прогресс: 35000 | Награда: 150 XP | Weight: 0 | ID: 436
[1.147] пролететь 25000 блоков в нижний мир | Необходимый прогресс: 25000 | Награда: 150 XP | Weight: 0 | ID: 441
[1.148] пролететь 35000 блоков | Необходимый прогресс: 35000 | Награда: 150 XP | Weight: 0 | ID: 444
[1.149] съесть Плод коруса | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 447
[1.150] использовать Эндер-жемчуг | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 448
[1.151] съесть Золотое яблоко | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 453
[1.152] съесть Золотая морковь | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 456
[1.153] съесть Картофель | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 457
[1.154] съесть Печеный картофель | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 458
[1.155] съесть Морковь | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 459
[1.156] съесть Стейк | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 460
[1.157] съесть Жареная курятина | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 461
[1.158] съесть Жареная баранина | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 462
[1.159] съесть Тушеные грибы | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 463
[1.160] съесть Жареная свинина | Необходимый прогресс: 12 | Награда: 150 XP | Weight: 0 | ID: 464
[1.161] зачаровать предмет Алмазный шлем на Защита III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 483
[1.162] зачаровать предмет Алмазная кираса на Защита III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 484
[1.163] зачаровать предмет Алмазные поножи на Защита III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 485
[1.164] зачаровать предмет Алмазные ботинки на Защита III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 486
[1.165] зачаровать предмет Алмазный шлем на Огнеупорность III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 487
[1.166] зачаровать предмет Алмазная кираса на Огнеупорность III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 488
[1.167] зачаровать предмет Алмазные поножи на Огнеупорность III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 489
[1.168] зачаровать предмет Алмазные ботинки на Огнеупорность III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 490
[1.169] зачаровать предмет Алмазный шлем на Взрывоустойчивость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 491
[1.170] зачаровать предмет Алмазная кираса на Взрывоустойчивость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 492
[1.171] зачаровать предмет Алмазные поножи на Взрывоустойчивость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 493
[1.172] зачаровать предмет Алмазные ботинки на Взрывоустойчивость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 494
[1.173] зачаровать предмет Алмазный шлем на Защита от снарядов III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 495
[1.174] зачаровать предмет Алмазная кираса на Защита от снарядов III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 496
[1.175] зачаровать предмет Алмазные поножи на Защита от снарядов III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 497
[1.176] зачаровать предмет Алмазные ботинки на Защита от снарядов III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 498
[1.177] зачаровать предмет Алмазный шлем на Дыхание I | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 499
[1.178] зачаровать предмет Алмазные ботинки на Легкость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 500
[1.179] зачаровать любой предмет на Неразрушимость I | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 501
[1.180] зачаровать любой предмет на Неразрушимость II | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 502
[1.181] зачаровать любой предмет на Неразрушимость III | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 503
[1.182] зачаровать любой предмет на Неразрушимость | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 504
[1.183] зачаровать любой предмет | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 505
[1.184] зачаровать любой предмет на 3 ур. | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 506
[1.185] продать Лазурит скупщику | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 555
[1.186] продать Редстоуновая пыль скупщику | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 556
[1.187] продать Уголь скупщику | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 557
[1.188] продать Незер-кварц скупщику | Необходимый прогресс: 128 | Награда: 150 XP | Weight: 0 | ID: 558
[1.189] продать Золотой слиток скупщику | Необходимый прогресс: 16 | Награда: 150 XP | Weight: 0 | ID: 567
[1.190] продать Алмаз скупщику | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 570
[1.191] продать Незеритовый слиток скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 573
[1.192] продать Незеритовый скрап скупщику | Необходимый прогресс: 1 | Награда: 150 XP | Weight: 0 | ID: 576
[1.193] продать Обсидиан скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 579
[1.194] продать Древние обломки скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 582
[1.195] продать Белая шерсть скупщику | Необходимый прогресс: 10 | Награда: 150 XP | Weight: 0 | ID: 585
[1.196] продать Сосновое бревно скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 588
[1.197] продать Бревно темного дуба скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 589
[1.198] продать Дубовое бревно скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 590
[1.199] продать Березовое бревно скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 591
[1.200] продать Бревно тропического дерева скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 592
[1.201] продать Акациевое бревно скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 593
[1.202] продать Багровый стебель скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 594
[1.203] продать Искаженный стебель скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 595
[1.204] продать Кактус скупщику | Необходимый прогресс: 64 | Награда: 150 XP | Weight: 0 | ID: 612
[1.205] продать Тыква скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 615
[1.206] продать Арбуз скупщику | Необходимый прогресс: 8 | Награда: 150 XP | Weight: 0 | ID: 618
[1.207] продать Зелье силы скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 621
[1.208] продать Зелье ускорения скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 622
[1.209] продать Зелье огнестойкости скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 623
[1.210] продать Зелье невидимости скупщику | Необходимый прогресс: 4 | Награда: 150 XP | Weight: 0 | ID: 624
[1.211] продать Паучий глаз скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 633
[1.212] продать Нить скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 634
[1.213] продать Гнилая плоть скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 635
[1.214] продать Кость скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 636
[1.215] продать стрелка скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 637
[1.216] продать Маринованный паучий глаз скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 638
[1.217] продать Светопыль скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 639
[1.218] продать Кожа скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 640
[1.219] продать Эндер-жемчуг скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 641
[1.220] продать Порох скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 642
[1.221] продать Плод коруса скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 643
[1.222] продать Незерский нарост скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 666
[1.223] продать Сахарный тростник скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 667
[1.224] продать Свекла скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 668
[1.225] продать Какао-бобы скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 669
[1.226] продать Ломтик арбуза скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 670
[1.227] продать Сладкие ягоды скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 671
[1.228] продать Картофель скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 672
[1.229] продать Морковь скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 673
[1.230] продать Пшеница скупщику | Необходимый прогресс: 24 | Награда: 150 XP | Weight: 0 | ID: 674
[1.231] продать Жареная баранина скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 693
[1.232] продать Стейк скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 694
[1.233] продать Жареная свинина скупщику | Необходимый прогресс: 32 | Награда: 150 XP | Weight: 0 | ID: 695

==========Уровень квеста: Средний==========
[2.0] сломать Древесина акации | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 9
[2.1] сломать Древесина березы | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 10
[2.2] сломать Древесина вишни | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 11
[2.3] сломать Древесина дуба | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 12
[2.4] сломать Древесина тропического дерева | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 13
[2.5] сломать Мангровая древесина | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 14
[2.6] сломать Древесина темного дуба | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 15
[2.7] сломать Древесина бледного дуба | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 16
[2.8] сломать Древесина сосны | Необходимый прогресс: 192 | Награда: 250 XP | Weight: 0 | ID: 17
[2.9] сломать Камень | Необходимый прогресс: 320 | Награда: 250 XP | Weight: 0 | ID: 33
